"Reference","Value","Footprint","Qty","DNP","#"
"C1,C7,C10,C12,C13,C16,C19","47uF","untitled:CAPC2012X135N","7","","1"
"C2","10uF","untitled:CAPC2012X135N","1","","2"
"C3,C4,C5,C6,C8,C9,C11,C14,C15,C17,C18,C20,C21,C22,C23,C24,C25,C26","100nF","untitled:CAPC2012X135N","18","","3"
"D1","1N5819HW-7-F","untitled:SOD3715X145N","1","","4"
"D5","GREEN","untitled:LEDC2012X70N","1","","5"
"D6","RED","untitled:LEDC2012X70N","1","","6"
"D7","WHITE","untitled:LEDC2012X70N","1","","7"
"D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19","WS2812B2020","untitled:LED_WS2812B2020","12","","8"
"J1","CSP-USC16-TR","CSP-USC16-TR:VALCON_CSP-USC16-TR","1","","9"
"J2","10114828-13102LF","untitled:AMPHENOL_10114828-13102LF","1","","10"
"J3","TEMP/HUMID","untitled:JST_S4B-PH-K-S(LF)(SN)","1","","11"
"J4","MOTOR","untitled:JST_S4B-PH-K-S(LF)(SN)","1","","12"
"J5","FAN","untitled:JST_S4B-PH-K-S(LF)(SN)","1","","13"
"J6","OBSTACLE","untitled:JST_S4B-PH-K-S(LF)(SN)","1","","14"
"J7","RAINFALL","untitled:JST_S4B-PH-K-S(LF)(SN)","1","","15"
"J8","SOIL_MOISTURE","untitled:JST_S4B-PH-K-S(LF)(SN)","1","","16"
"J9","LDR","untitled:JST_S4B-PH-K-S(LF)(SN)","1","","17"
"J10,J11,J12,J13","Conn_01x01_Pin","","4","","18"
"L1","ASPI-0630LR-5R6M-T15","untitled:IND_ASPI-0630LR-5R6M-T15","1","","19"
"LS1","CMT-8530S-SMT","untitled:CUI_CMT-8530S-SMT","1","","20"
"Q1,Q2","BSS138","untitled:SOT95P240X111-3N","2","","21"
"R1,R2,R27,R28","1k","untitled:RESC2012X65N","4","","22"
"R3,R4,R5,R6,R7,R8,R18,R19,R21","10k","untitled:RESC2012X65N","9","","23"
"R9,R24,R25","0","untitled:RESC2012X65N","3","","24"
"R11,R14","10K","untitled:RESC2012X65N","2","","25"
"R12","15K","untitled:RESC2012X65N","1","","26"
"R13","2K","untitled:RESC2012X65N","1","","27"
"R15","1K","untitled:RESC2012X65N","1","","28"
"R16,R17","47k","untitled:RESC2012X65N","2","","29"
"R20","3k","untitled:RESC2012X65N","1","","30"
"S1","Boot1","untitled:434121025816","1","","31"
"S2","Reset1","untitled:434121025816","1","","32"
"S3","JS202011SCQN","untitled:SW_JS202011SCQN","1","","33"
"S8,S9,S10,S11,S12","B3SL-1022P","untitled:SW_B3SL-1022P","5","","34"
"SV1","MA04-1","untitled:MA04-1","1","","35"
"T1,T2,T3,T4","BC847","untitled:SOT23","4","","36"
"U1","ESP32-WROOM-32E_(4MB)","untitled:XCVR_ESP32-WROOM-32E_(4MB)","1","","37"
"U2","CH340C","untitled:SOIC127P600X180-16N","1","","38"
"U3","MT3608","untitled:SOT95P280X145-6N","1","","39"
"U4","TP4056","untitled:SOP127P600X175-9N","1","","40"
"U5","AMS1117-3.3","untitled:SOT229P700X180-4N","1","","41"
