Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","CAPC2012X135N",190.140000,-98.730000,180.000000,bottom
"C2","10uF","CAPC2012X135N",190.050000,-101.780000,180.000000,bottom
"C3","100nF","CAPC2012X135N",185.400000,-104.800000,180.000000,bottom
"C4","100nF","CAPC2012X135N",143.394479,-127.620536,0.000000,bottom
"C5","100nF","CAPC2012X135N",201.114601,-134.667473,90.000000,bottom
"C6","100nF","CAPC2012X135N",186.014201,-127.436695,180.000000,bottom
"C7","47uF","CAPC2012X135N",142.384179,-130.732554,-90.000000,bottom
"C8","100nF","CAPC2012X135N",133.990238,-130.303554,-90.000000,bottom
"C9","100nF","CAPC2012X135N",95.002120,-137.406654,90.000000,bottom
"C10","47uF","CAPC2012X135N",98.818520,-137.444995,90.000000,bottom
"C11","100nF","CAPC2012X135N",92.766960,-141.560273,90.000000,bottom
"C12","47uF","CAPC2012X135N",88.794179,-141.503714,90.000000,bottom
"C13","47uF","CAPC2012X135N",165.383038,-58.926714,-90.000000,bottom
"C14","100nF","CAPC2012X135N",147.980000,-120.480000,180.000000,bottom
"C15","100nF","CAPC2012X135N",148.319857,-51.508376,180.000000,bottom
"C16","47uF","CAPC2012X135N",100.190479,-153.569692,-90.000000,bottom
"C17","100nF","CAPC2012X135N",102.925538,-153.554692,-90.000000,bottom
"C18","100nF","CAPC2012X135N",111.034657,-148.787076,90.000000,bottom
"C19","47uF","CAPC2012X135N",114.111657,-148.779014,90.000000,bottom
"C20","100nF","CAPC2012X135N",174.969979,-148.443414,0.000000,bottom
"C21","100nF","CAPC2012X135N",210.768782,-114.366517,180.000000,bottom
"C22","100nF","CAPC2012X135N",216.878441,-128.488776,180.000000,bottom
"C23","100nF","CAPC2012X135N",207.135098,-151.038214,180.000000,bottom
"C24","100nF","CAPC2012X135N",183.488457,-155.380329,0.000000,bottom
"C25","100nF","CAPC2012X135N",195.934198,-156.975217,0.000000,bottom
"C26","100nF","CAPC2012X135N",213.674660,-141.986314,180.000000,bottom
"D1","1N5819HW-7-F","SOD3715X145N",137.016660,-130.034973,-90.000000,bottom
"J2","10114828-13102LF","AMPHENOL_10114828-13102LF",148.723438,-61.256776,180.000000,bottom
"L1","ASPI-0630LR-5R6M-T15","IND_ASPI-0630LR-5R6M-T15",88.402420,-153.530014,180.000000,bottom
"Q1","BSS138","SOT95P240X111-3N",197.577360,-91.805914,-90.000000,bottom
"Q2","BSS138","SOT95P240X111-3N",202.661360,-91.675914,-90.000000,bottom
"R1","1k","RESC2012X65N",173.545038,-133.168795,90.000000,bottom
"R2","1k","RESC2012X65N",190.290000,-105.010000,180.000000,bottom
"R3","10k","RESC2012X65N",186.188320,-135.448354,180.000000,bottom
"R4","10k","RESC2012X65N",186.157120,-130.890014,180.000000,bottom
"R5","10k","RESC2012X65N",197.539760,-88.001714,180.000000,bottom
"R6","10k","RESC2012X65N",197.550879,-95.267936,0.000000,bottom
"R7","10k","RESC2012X65N",202.445760,-88.016836,180.000000,bottom
"R8","10k","RESC2012X65N",202.681760,-95.254895,180.000000,bottom
"R9","0","RESC2012X65N",95.240000,-153.250000,90.000000,bottom
"R11","10K","RESC2012X65N",81.081638,-146.813633,90.000000,bottom
"R12","15K","RESC2012X65N",93.773938,-146.892076,90.000000,bottom
"R13","2K","RESC2012X65N",91.468760,-146.955633,-90.000000,bottom
"R14","10K","RESC2012X65N",84.557601,-133.868714,180.000000,bottom
"R15","1K","RESC2012X65N",84.664038,-137.075936,0.000000,bottom
"R16","47k","RESC2012X65N",158.888779,-58.793636,90.000000,bottom
"R17","47k","RESC2012X65N",162.048920,-58.895073,90.000000,bottom
"R18","10k","RESC2012X65N",157.783663,-138.617758,90.000000,bottom
"R19","10k","RESC2012X65N",160.637601,-138.560758,90.000000,bottom
"R20","3k","RESC2012X65N",167.011098,-121.032951,-90.000000,bottom
"R21","10k","RESC2012X65N",130.926882,-138.421758,-90.000000,bottom
"R24","0","RESC2012X65N",150.574701,-54.447595,0.000000,bottom
"R25","0","RESC2012X65N",144.741020,-54.686736,0.000000,bottom
"R27","1k","RESC2012X65N",92.720000,-102.800000,180.000000,bottom
"R28","1k","RESC2012X65N",94.140000,-105.810000,-90.000000,bottom
"T1","BC847","SOT23",179.251679,-131.445514,-90.000000,bottom
"T2","BC847","SOT23",179.427101,-135.954514,-90.000000,bottom
"T3","BC847","SOT23",84.693998,-140.876773,0.000000,bottom
"T4","BC847","SOT23",97.230000,-106.520000,0.000000,bottom
"U2","CH340C","SOIC127P600X180-16N",193.003260,-134.350354,180.000000,bottom
"U3","MT3608","SOT95P280X145-6N",85.196279,-146.966654,180.000000,bottom
"U4","TP4056","SOP127P600X175-9N",160.714779,-122.836533,180.000000,bottom
"U5","AMS1117-3.3","SOT229P700X180-4N",104.443060,-145.906536,90.000000,bottom
"edukit_mountinghole2","~","edukit_mountinghole",180.393502,-93.100000,0.000000,bottom
"edukit_mountinghole2","~","edukit_mountinghole",119.960000,-93.170000,0.000000,bottom
"","","",113.274469,-93.992368,0.000000,top
"","","",129.264469,-90.892368,0.000000,top
"","","",85.826770,-101.488821,27.000000,top
"","","",97.544469,-97.032368,0.000000,top
"D5","GREEN","LEDC2012X70N",154.325341,-138.811951,-90.000000,top
"D6","RED","LEDC2012X70N",150.432141,-138.827951,-90.000000,top
"D7","WHITE","LEDC2012X70N",133.124698,-138.436758,90.000000,top
"D8","WS2812B2020","LED_WS2812B2020",105.848241,-122.752711,0.000000,top
"D9","WS2812B2020","LED_WS2812B2020",114.270000,-132.300000,0.000000,top
