Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","CAPC2012X135N",96.450000,-145.640000,180.000000,bottom
"C2","47uF","CAPC2012X135N",96.450000,-147.770000,180.000000,bottom
"C3","10uF","CAPC2012X135N",99.520000,-146.920000,-90.000000,bottom
"C4","100nF","CAPC2012X135N",95.200000,-141.530000,-90.000000,bottom
"C5","100nF","CAPC2012X135N",157.960000,-149.360000,180.000000,bottom
"C6","100nF","CAPC2012X135N",162.720000,-142.570000,-90.000000,bottom
"C7","47uF","CAPC2012X135N",137.010000,-153.720000,180.000000,bottom
"C8","100nF","CAPC2012X135N",137.040000,-155.930000,180.000000,bottom
"C9","100nF","CAPC2012X135N",89.434000,-135.200000,180.000000,bottom
"C10","100nF","CAPC2012X135N",132.050000,-159.240000,90.000000,bottom
"C11","47uF","CAPC2012X135N",59.590000,-143.720000,0.000000,bottom
"C12","100nF","CAPC2012X135N",63.500000,-143.700000,0.000000,bottom
"C13","47uF","CAPC2012X135N",68.170000,-148.190000,0.000000,bottom
"C13","GCM21BR71H104KA37K","CAPC2012X135N",100.020000,-127.330000,180.000000,bottom
"C15","100nF","CAPC2012X135N",68.110000,-150.330000,0.000000,bottom
"C16","100nF","CAPC2012X135N",103.320000,-159.210000,90.000000,bottom
"C17","100nF","CAPC2012X135N",103.300000,-155.340000,-90.000000,bottom
"C18","47uF","CAPC2012X135N",101.140000,-158.690000,90.000000,bottom
"C19","47uF","CAPC2012X135N",101.130000,-154.870000,-90.000000,bottom
"C20","100nF","CAPC2012X135N",64.860000,-155.790000,90.000000,bottom
"C21","100nF","CAPC2012X135N",81.550000,-155.970000,90.000000,bottom
"C22","100nF","CAPC2012X135N",99.010000,-156.040000,90.000000,bottom
"C23","100nF","CAPC2012X135N",154.910000,-155.860000,90.000000,bottom
"C24","100nF","CAPC2012X135N",171.710000,-155.850000,90.000000,bottom
"D1","1N5819HW-7-F","SOD3715X145N",123.820000,-151.700000,180.000000,bottom
"J2","10114828-13102LF","AMPHENOL_10114828-13102LF",91.394000,-129.305000,-90.000000,bottom
"L1","ASPI-0630LR-5R6M-T15","IND_ASPI-0630LR-5R6M-T15",53.810000,-149.165000,-90.000000,bottom
"Q1","BSS138","SOT95P240X111-3N",123.310000,-128.170000,-90.000000,bottom
"Q2","BSS138","SOT95P240X111-3N",123.310000,-136.200000,-90.000000,bottom
"R1","1K","RESC2012X65N",100.158000,-125.170000,180.000000,bottom
"R2","1k","RESC2012X65N",97.330000,-141.712000,-90.000000,bottom
"R3","10k","RESC2012X65N",158.220000,-138.208000,90.000000,bottom
"R4","10k","RESC2012X65N",156.080000,-138.148000,-90.000000,bottom
"R5","10k","RESC2012X65N",123.280000,-125.110000,180.000000,bottom
"R6","10k","RESC2012X65N",123.312000,-131.160000,180.000000,bottom
"R7","10k","RESC2012X65N",123.318000,-133.220000,180.000000,bottom
"R8","10k","RESC2012X65N",126.190000,-136.288000,90.000000,bottom
"R9","0","RESC2012X65N",89.452000,-137.330000,180.000000,bottom
"R10","3k","RESC2012X65N",134.660000,-159.060000,90.000000,bottom
"R11","0","RESC2012X65N",89.380000,-123.500000,0.000000,bottom
"R12","10k","RESC2012X65N",129.800000,-159.458000,-90.000000,bottom
"R13","1k","RESC2012X65N",58.600000,-148.868000,90.000000,bottom
"R13","1k","RESC2012X65N",66.890000,-152.790000,0.000000,bottom
"R14","10k","RESC2012X65N",127.550000,-159.450000,-90.000000,bottom
"R15","10k","RESC2012X65N",63.280000,-152.770000,180.000000,bottom
"R16","10k","RESC2012X65N",100.012000,-129.450000,0.000000,bottom
"R16","10k","RESC2012X65N",59.568000,-146.000000,180.000000,bottom
"R17","RP73PF2A33K2BTDF","RESC2012X65N",100.012000,-131.660000,0.000000,bottom
