Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","CAPC2012X135N",92.840000,-99.770000,180.000000,bottom
"C2","100nF","CAPC2012X135N",92.690000,-107.400000,90.000000,bottom
"C3","100nF","CAPC2012X135N",92.710000,-102.300000,180.000000,bottom
"C4","100nF","CAPC2012X135N",96.840000,-100.290000,-90.000000,bottom
"C5","100nF","CAPC2012X135N",207.540000,-118.910000,-90.000000,bottom
"C6","100nF","CAPC2012X135N",142.570000,-128.490000,180.000000,bottom
"C7","47uF","CAPC2012X135N",148.060000,-140.300000,-90.000000,bottom
"C8","100nF","CAPC2012X135N",145.780000,-140.300000,-90.000000,bottom
"C9","100uF","CAPC2012X135N",83.820000,-134.570000,180.000000,bottom
"C10","47uF","CAPC2012X135N",83.810000,-132.400000,180.000000,bottom
"C11","100nF","CAPC2012X135N",83.830000,-128.070000,180.000000,bottom
"C12","47uF","CAPC2012X135N",83.810000,-130.190000,180.000000,bottom
"C13","47uF","CAPC2012X135N",96.220000,-108.170000,180.000000,bottom
"C14","100nF","CAPC2012X135N",152.750000,-140.300000,-90.000000,bottom
"C15","100nF","CAPC2012X135N",155.870000,-81.490000,0.000000,bottom
"C16","47uF","CAPC2012X135N",125.090000,-134.010000,180.000000,bottom
"C17","100nF","CAPC2012X135N",125.110000,-136.150000,180.000000,bottom
"C18","100nF","CAPC2012X135N",125.130000,-139.300000,180.000000,bottom
"C19","47uF","CAPC2012X135N",125.130000,-141.430000,180.000000,bottom
"C20","100nF","CAPC2012X135N",87.940000,-142.960000,180.000000,bottom
"C21","100nF","CAPC2012X135N",104.100000,-142.970000,180.000000,bottom
"C22","100nF","CAPC2012X135N",120.580000,-143.070000,180.000000,bottom
"C23","100nF","CAPC2012X135N",170.280000,-143.020000,180.000000,bottom
"C24","100nF","CAPC2012X135N",186.510000,-142.990000,180.000000,bottom
"C25","100nF","CAPC2012X135N",202.580000,-143.180000,180.000000,bottom
"C26","100nF","CAPC2012X135N",218.860000,-143.210000,180.000000,bottom
"D1","1N5819HW-7-F","SOD3715X145N",150.440000,-141.020000,-90.000000,bottom
"J2","10114828-13102LF","AMPHENOL_10114828-13102LF",162.470000,-82.260000,180.000000,bottom
"L1","ASPI-0630LR-5R6M-T15","IND_ASPI-0630LR-5R6M-T15",90.280000,-128.090000,0.000000,bottom
"Q1","BSS138","SOT95P240X111-3N",95.970000,-116.810000,180.000000,bottom
"Q2","BSS138","SOT95P240X111-3N",96.080000,-112.510000,180.000000,bottom
"Q3","BC847","SOT-23",95.870000,-70.710000,180.000000,bottom
"R1","1k","RESC2012X65N",148.962000,-128.370000,180.000000,bottom
"R2","1k","RESC2012X65N",95.060000,-97.170000,180.000000,bottom
"R3","10k","RESC2012X65N",201.700000,-129.822000,-90.000000,bottom
"R4","10k","RESC2012X65N",203.860000,-129.860000,90.000000,bottom
"R5","10k","RESC2012X65N",99.340000,-116.852000,90.000000,bottom
"R6","10k","RESC2012X65N",92.820000,-116.832000,90.000000,bottom
"R7","10k","RESC2012X65N",99.750000,-112.528000,90.000000,bottom
"R8","10k","RESC2012X65N",92.790000,-112.518000,-90.000000,bottom
"R9","1k","R_0805_2012Metric",98.970000,-70.700000,90.000000,bottom
"R10","100","R_0805_2012Metric",99.270000,-66.707500,-90.000000,bottom
"R11","10k","RESC2012X65N",89.430000,-134.170000,90.000000,bottom
"R12","15k","RESC2012X65N",97.062000,-135.200000,0.000000,bottom
"R13","2k","RESC2012X65N",97.058000,-137.320000,180.000000,bottom
"R14","10k","RESC2012X65N",93.740000,-137.968000,90.000000,bottom
"R15","1k","RESC2012X65N",87.150000,-134.148000,90.000000,bottom
"R16","47k","RESC2012X65N",100.190000,-106.840000,90.000000,bottom
"R17","47k","RESC2012X65N",96.250000,-105.710000,0.000000,bottom
"R18","10k","RESC2012X65N",157.360000,-143.788000,90.000000,bottom
"R19","10k","RESC2012X65N",159.460000,-143.778000,90.000000,bottom
